time,step,roll_angle,pitch_angle,yaw_angle,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,hip_position,knee_position,hip_velocity,knee_velocity,hip_torque,knee_torque,steering_torque,rearwheel_torque,action_hip,action_knee,action_steering,action_rearwheel,total_reward,roll_reward,pitch_reward,yaw_reward,speed_reward,position_reward,height_reward,survival_reward,raw_roll_reward,raw_pitch_reward,raw_yaw_reward,raw_speed_reward,roll_deviation,pitch_deviation,yaw_deviation,cumulative_reward
0.224,112,0.5460743103725568,-0.34945644071422377,0.5490528462190141,2.2916691054240252,0.001870422702099122,0.25192085069469417,3.920083898171305,-0.015482745164034944,0.3997955192550937,-1.0962734171658208,1.9415356286755878,10.507974720597321,-22.248180909096803,180.0,-180.0,4.0,12.0,1.0,-1.0,1.0,1.0,7.95742446126687,3.5631405517019545,3.9534058079047703,0.19633964769187326,0.21078560179424016,0.12963053009211567,0.0,1.5,0.8907851379254886,0.9883514519761926,0.9816982384593662,0.7026186726474672,0.5460743103725568,0.34945644071422377,0.5490528462190141,1074.7770197896668
0.226,113,0.5479699239186151,-0.23567822533967295,0.4914873999659313,2.2995679498748705,0.0018418383010243512,0.2529549766789218,3.97689625716844,-0.01374115783097037,0.6328518757610009,-1.078100431457957,1.899522984317865,7.711695068905328,-19.75471192600678,-76.32041126967596,180.0,4.0,12.0,-0.15176095,1.0,1.0,1.0,8.237234663001711,3.5616240608651077,3.968576236621377,0.19672341733356047,0.19036102379704936,0.13314100138364715,0.0,1.5,0.8904060152162769,0.9921440591553442,0.9836170866678023,0.6345367459901645,0.5479699239186151,0.23567822533967295,0.4914873999659313,1083.0142544526686
0.228,114,0.5518783082119623,-0.09228343360578439,0.42246220519696676,2.307473661741498,0.0018014554958302796,0.25436990474989946,3.9292664592432094,-0.026615689575248284,0.7827213864843524,-1.0629680711457725,1.8619621104550799,7.4005294051972665,-17.788159514803958,28.028779755048163,180.0,4.0,-12.0,0.26755053,1.0,0.83434135,0.5137773,8.51780186739564,3.5584973534304303,3.9876955421858953,0.1971835852986869,0.20752318919719143,0.13665438962415521,0.0,1.5,0.8896243383576076,0.9969238855464738,0.9859179264934345,0.6917439639906381,0.5518783082119623,0.09228343360578439,0.42246220519696676,1091.5320563200644
0.23,115,0.5563656127525705,-0.1699224607248834,0.35186358667906426,2.3151273970630295,0.0017622090045635319,0.25557718586012834,3.7258213933849156,-0.012550606483091479,0.4247496109166727,-1.0410354225677274,1.8225699073758967,14.456859929439712,-21.644130190039885,180.0,-180.0,-4.0,12.0,1.0,-1.0,-1.0,1.0,7.868681698183769,3.5549075097979435,3.977343671903349,0.19765424275547291,0.27091141112928535,0.14005574556653722,0.0,1.5,0.8887268774494859,0.9943359179758372,0.9882712137773645,0.9030380370976179,0.5563656127525705,0.1699224607248834,0.35186358667906426,1099.4007380182481
0.232,116,0.5611628334763281,-0.30951903420767973,0.2807890193243953,2.3226999355718787,0.0017240985616256382,0.25670103236932035,3.843455044247648,-0.025579106824242227,0.6968728934077435,-1.0170238611810953,1.782234846047821,9.65081799994987,-18.680611857799533,-124.07720559690992,180.0,4.0,-12.0,-1.0,1.0,1.0,-1.0,8.25510498372994,3.5510697332189376,3.958730795438976,0.19812807320450404,0.23695250964653833,0.1434209674932947,0.0,1.5,0.8877674333047344,0.989682698859744,0.9906403660225201,0.7898416988217944,0.5611628334763281,0.30951903420767973,0.2807890193243953,1107.6558430019782
0.234,117,0.5663226026087717,-0.24351642150208785,0.21182649187693964,2.330464650201061,0.001682340391779567,0.25834386987827873,3.9206057872237015,-0.016248323863305318,0.9447280687748432,-1.0013327234586635,1.7477955467925848,6.032400859285511,-15.75042113222157,-91.02777788468507,180.0,-4.0,12.0,-0.30892217,1.0,-1.0,0.74470264,8.588158143524627,3.546941917912983,3.9675311437997216,0.19858782338748707,0.21060071992978824,0.14687132077885678,0.0,1.5,0.8867354794782457,0.9918827859499304,0.9929391169374353,0.7020023997659608,0.5663226026087717,0.24351642150208785,0.21182649187693964,1116.2440011455028
0.23600000000000002,118,0.5718170601157084,-0.019102061271246164,0.1445363527460441,2.338379277403007,0.0016362548933979773,0.26048122749531216,3.9911726715689375,-0.02985966529917196,1.1907799021237921,-0.9927432891360629,1.7193455456496982,2.630071127374705,-12.696058248877481,-88.9698614601636,180.0,4.0,12.0,-0.9537194,1.0,1.0,1.0,8.730415275597121,3.542546351907433,3.9974530584971673,0.19903642431502638,0.18517128990133136,0.15038790280367298,0.0,1.5,0.8856365879768583,0.9993632646242918,0.9951821215751319,0.6172376330044379,0.5718170601157084,0.019102061271246164,0.1445363527460441,1124.9744164211
0.23800000000000002,119,0.5777721970311943,0.33405086212089885,0.057369583959043256,2.346419097895489,0.001562785642708142,0.2631004450020174,4.047751192378287,-0.04363721211405211,1.4270321260911223,-0.9905554798014663,1.6970233184399852,-0.4454101978700229,-9.62800555283253,-74.60168827291776,180.0,4.0,12.0,-1.0,1.0,1.0,1.0,8.77105723730957,3.5377822423750445,3.955459885050547,0.19961753610693972,0.16463316183060878,0.15395957358416235,0.0,1.5,0.8844455605937611,0.9888649712626367,0.9980876805346985,0.5487772061020293,0.5777721970311943,0.33405086212089885,0.057369583959043256,1133.7454736584095
0.24,120,0.5844224649772327,0.7980396680872868,-0.0495143757096256,2.3545583753513406,0.0014615792525539283,0.2661816610579602,4.090042146520496,-0.05759098725302713,1.652717746877966,-0.9942251800650622,1.6808169645535076,-3.203613511483742,-6.583667762302992,-59.66184351361346,180.0,4.0,2.8968720878035583,-1.0,1.0,1.0,1.0,8.627684538692211,3.5324620280182137,3.893594710921695,0.19966990416193584,0.14952790116969486,0.1575747147657327,0.0,1.5,0.8831155070045534,0.9733986777304238,0.9983495208096791,0.4984263372323162,0.5844224649772327,0.7980396680872868,0.0495143757096256,1142.3731581971017
0.242,121,0.5919511083762324,1.174996375016251,-0.17801695879082474,2.362579446909732,0.0013338237685893144,0.26956852054181407,3.934648441373054,-0.07005112519963397,1.7365508092772253,-0.9980701803873273,1.6694748454396193,-0.7564125522780567,-4.733044470209851,129.58062285372583,180.0,4.0,1.9127171212135181,0.45505154,1.0,1.0,1.0,9.305772759122384,3.526439113299014,3.8433338166645,0.19881322027472784,0.20560234506623717,0.1611365232028561,0.0,1.5,0.8816097783247535,0.960833454166125,0.9940661013736392,0.6853411502207906,0.5919511083762324,1.174996375016251,0.17801695879082474,1151.6789309562241
0.244,122,0.6002745237158595,1.4826797396830582,-0.32747735033864767,2.3704955896173705,0.0011801850730577162,0.273270560288535,3.978642372603379,-0.08356595505997727,1.9625644124156427,-1.0025942970387887,1.6631500124137504,-3.684334750908941,-1.6181242381773973,-56.603891624401086,180.0,4.0,-12.0,-1.0,1.0,1.0,-1.0,9.18321495217452,3.5197803810273123,3.802309368042259,0.19781681766440903,0.1897268550762654,0.16465072575751716,0.0,1.5,0.8799450952568281,0.9505773420105648,0.9890840883220451,0.6324228502542181,0.6002745237158595,1.4826797396830582,0.32747735033864767,1160.8621459083986
