stage,tick,episode,x,z,base_action_0,requested_delta_0,effective_delta_0,action_0,base_action_1,requested_delta_1,effective_delta_1,action_1,base_action_2,requested_delta_2,effective_delta_2,action_2,base_action_3,requested_delta_3,effective_delta_3,action_3
initial,31,0,3.590099811553955,0.5648822784423828,0.7711818814277649,0.0,0.0,0.7711818814277649,-0.6701474785804749,0.0,0.0,-0.6701474785804749,0.6161583662033081,0.0,0.0,0.6161583662033081,-0.5059242248535156,0.0,0.0,-0.5059242248535156
initial,31,1,3.593204975128174,0.5209130644798279,0.7468619346618652,0.0,0.0,0.7468619346618652,-0.7056131362915039,0.0,0.0,-0.7056131362915039,0.33150362968444824,0.0,0.0,0.33150362968444824,-0.4263343811035156,0.0,0.0,-0.4263343811035156
initial,32,0,3.627372980117798,0.5658365488052368,0.7748929858207703,0.0,0.0,0.7748929858207703,-0.6703915596008301,0.0,0.0,-0.6703915596008301,0.5913103222846985,0.0,0.0,0.5913103222846985,-0.4857947528362274,0.0,0.0,-0.4857947528362274
initial,32,1,3.6300761699676514,0.5170584917068481,0.4269886612892151,0.0,0.0,0.4269886612892151,-0.5892363786697388,0.0,0.0,-0.5892363786697388,0.2786298096179962,0.0,0.0,0.2786298096179962,-0.3342861235141754,0.0,0.0,-0.3342861235141754
initial,33,0,3.665292978286743,0.5652295351028442,0.6929695010185242,0.0,0.0,0.6929695010185242,-0.5046607255935669,0.0,0.0,-0.5046607255935669,0.5842145085334778,0.0,0.0,0.5842145085334778,-0.4432544708251953,0.0,0.0,-0.4432544708251953
initial,33,1,3.6666958332061768,0.5182912349700928,0.13836202025413513,0.0,0.0,0.13836202025413513,-0.3962598741054535,0.0,0.0,-0.3962598741054535,0.01894357055425644,0.0,0.0,0.01894357055425644,-0.2307962328195572,0.0,0.0,-0.2307962328195572
initial,34,0,3.7026522159576416,0.5616687536239624,0.6915635466575623,0.0,0.0,0.6915635466575623,-0.49425506591796875,0.0,0.0,-0.49425506591796875,0.5355650782585144,0.0,0.0,0.5355650782585144,-0.4486594498157501,0.0,0.0,-0.4486594498157501
initial,34,1,3.7043702602386475,0.52327561378479,0.12000510841608047,0.0,0.0,0.12000510841608047,-0.4100889265537262,0.0,0.0,-0.4100889265537262,-0.2082870900630951,0.0,0.0,-0.2082870900630951,-0.09209320694208145,0.0,0.0,-0.09209320694208145
initial,35,0,3.739579200744629,0.5560485124588013,0.68402498960495,0.0,0.0,0.68402498960495,-0.4593084752559662,0.0,0.0,-0.4593084752559662,0.48632892966270447,0.0,0.0,0.48632892966270447,-0.4219880998134613,0.0,0.0,-0.4219880998134613
initial,35,1,3.7419931888580322,0.5257178544998169,-0.054952993988990784,0.0,0.0,-0.054952993988990784,-0.5152031779289246,0.0,0.0,-0.5152031779289246,-0.43314430117607117,0.0,0.0,-0.43314430117607117,-0.07776334136724472,0.0,0.0,-0.07776334136724472
