phase,x_bin,x_m,policy,reached_candidates,successful_candidates,reached_root_cells,root_cells,full_cells,root_z_m_min,root_z_m_max,root_vx_mps_min,root_vx_mps_max,root_vz_mps_min,root_vz_mps_max,pitch_deg_min,pitch_deg_max
upstream,70,3.5,pi_0,28,27,28,27,27,0.4921684265136719,0.7113907337188721,1.6013237237930298,2.3150084018707275,0.24021193385124207,1.5728245973587036,-7.369799482722889,6.72928602774735
upstream,70,3.5,pi_1,28,27,28,27,27,0.4921684265136719,0.7113907337188721,1.6013237237930298,2.3150084018707275,0.24021193385124207,1.5728245973587036,-7.369799482722889,6.72928602774735
upstream,70,3.5,pi_2,28,27,28,27,27,0.4921684265136719,0.7113907337188721,1.6013237237930298,2.3150084018707275,0.24021193385124207,1.5728245973587036,-7.369799482722889,6.72928602774735
upstream,70,3.5,pi_3,28,27,28,27,27,0.4921684265136719,0.7113907337188721,1.6013237237930298,2.3150084018707275,0.24021193385124207,1.5728245973587036,-7.369799482722889,6.72928602774735
upstream,70,3.5,pi_4,28,27,28,27,27,0.4921684265136719,0.7113907337188721,1.6013237237930298,2.3150084018707275,0.24021193385124207,1.5728245973587036,-7.369799482722889,6.72928602774735
upstream,70,3.5,union,28,27,28,27,27,0.4921684265136719,0.7113907337188721,1.6013237237930298,2.3150084018707275,0.24021193385124207,1.5728245973587036,-7.369799482722889,6.72928602774735
upstream,71,3.5500000000000003,pi_0,28,27,28,27,27,0.4988250434398651,0.7215098738670349,1.5706347227096558,2.3679308891296387,0.005571064073592424,1.541001796722412,-9.833856913875058,7.121099081177617
upstream,71,3.5500000000000003,pi_1,28,27,28,27,27,0.4988250434398651,0.7215098738670349,1.5706347227096558,2.3679308891296387,0.005571064073592424,1.541001796722412,-9.833856913875058,7.121099081177617
upstream,71,3.5500000000000003,pi_2,28,27,28,27,27,0.4988250434398651,0.7215098738670349,1.5706347227096558,2.3679308891296387,0.005571064073592424,1.541001796722412,-9.833856913875058,7.121099081177617
upstream,71,3.5500000000000003,pi_3,28,28,28,28,28,0.4988250434398651,0.7215098738670349,1.5706347227096558,2.3679308891296387,-0.0381588339805603,1.541001796722412,-9.833856913875058,12.281635447658596
upstream,71,3.5500000000000003,pi_4,28,27,28,27,27,0.4988250434398651,0.7215098738670349,1.5706347227096558,2.3679308891296387,0.005571064073592424,1.541001796722412,-9.833856913875058,7.121099081177617
upstream,71,3.5500000000000003,union,28,28,28,28,28,0.4988250434398651,0.7215098738670349,1.5706347227096558,2.3679308891296387,-0.0381588339805603,1.541001796722412,-9.833856913875058,12.281635447658596
upstream,72,3.6,pi_0,24,24,24,24,24,0.5008127689361572,0.7424523830413818,1.655995488166809,2.276428461074829,0.00808468833565712,1.1453579664230347,-11.812338918002053,5.119189569820877
upstream,72,3.6,pi_1,24,24,24,24,24,0.5008127689361572,0.7424523830413818,1.655995488166809,2.276428461074829,0.00808468833565712,1.1453579664230347,-11.812338918002053,5.119189569820877
upstream,72,3.6,pi_2,24,24,24,24,24,0.5008127689361572,0.7424523830413818,1.655995488166809,2.276428461074829,0.00808468833565712,1.1453579664230347,-11.812338918002053,5.119189569820877
upstream,72,3.6,pi_3,24,24,24,24,24,0.5008127689361572,0.7424523830413818,1.655995488166809,2.276428461074829,0.00808468833565712,1.1453579664230347,-11.812338918002053,5.119189569820877
upstream,72,3.6,pi_4,24,24,24,24,24,0.5008127689361572,0.7424523830413818,1.655995488166809,2.276428461074829,0.00808468833565712,1.1453579664230347,-11.812338918002053,5.119189569820877
upstream,72,3.6,union,24,24,24,24,24,0.5008127689361572,0.7424523830413818,1.655995488166809,2.276428461074829,0.00808468833565712,1.1453579664230347,-11.812338918002053,5.119189569820877
upstream,73,3.6500000000000004,pi_0,22,22,22,22,22,0.5143476128578186,0.7424910664558411,1.607572317123413,2.3867502212524414,0.05602439492940903,1.115173578262329,-10.623692032992723,5.823432221554378
upstream,73,3.6500000000000004,pi_1,22,22,22,22,22,0.5143476128578186,0.7424910664558411,1.607572317123413,2.3867502212524414,0.05602439492940903,1.115173578262329,-10.623692032992723,5.823432221554378
upstream,73,3.6500000000000004,pi_2,22,22,22,22,22,0.5143476128578186,0.7424910664558411,1.607572317123413,2.3867502212524414,0.05602439492940903,1.115173578262329,-10.623692032992723,5.823432221554378
upstream,73,3.6500000000000004,pi_3,22,22,22,22,22,0.5143476128578186,0.7424910664558411,1.607572317123413,2.3867502212524414,0.05602439492940903,1.115173578262329,-10.623692032992723,5.823432221554378
upstream,73,3.6500000000000004,pi_4,22,22,22,22,22,0.5143476128578186,0.7424910664558411,1.607572317123413,2.3867502212524414,0.05602439492940903,1.115173578262329,-10.623692032992723,5.823432221554378
upstream,73,3.6500000000000004,union,22,22,22,22,22,0.5143476128578186,0.7424910664558411,1.607572317123413,2.3867502212524414,0.05602439492940903,1.115173578262329,-10.623692032992723,5.823432221554378
upstream,74,3.7,pi_0,14,14,14,14,14,0.5352400541305542,0.7670254707336426,1.6620211601257324,2.2627956867218018,0.13279427587985992,1.0203099250793457,-9.08125050502248,6.140210747591417
upstream,74,3.7,pi_1,14,14,14,14,14,0.5352400541305542,0.7670254707336426,1.6620211601257324,2.2627956867218018,0.13279427587985992,1.0203099250793457,-9.08125050502248,6.140210747591417
upstream,74,3.7,pi_2,14,14,14,14,14,0.5352400541305542,0.7670254707336426,1.6620211601257324,2.2627956867218018,0.13279427587985992,1.0203099250793457,-9.08125050502248,6.140210747591417
upstream,74,3.7,pi_3,14,14,14,14,14,0.5352400541305542,0.7670254707336426,1.6620211601257324,2.2627956867218018,0.13279427587985992,1.0203099250793457,-9.08125050502248,6.140210747591417
upstream,74,3.7,pi_4,14,14,14,14,14,0.5352400541305542,0.7670254707336426,1.6620211601257324,2.2627956867218018,0.13279427587985992,1.0203099250793457,-9.08125050502248,6.140210747591417
