feature,fit_min,fit_max,development_min,development_max,fit_scale,max_abs_normalized_development
actor_observation_016,-28.829259872436523,32.82536315917969,-24.05435562133789,36.99411392211914,13.230884552001953,2.6519772678848472
actor_observation_017,-0.817889392375946,0.9460752010345459,-0.8750386834144592,0.913735032081604,0.39821097254753113,3.537889929480009
actor_observation_018,-0.9900491833686829,0.14712637662887573,-0.9794209599494934,-0.03787683695554733,0.200652614235878,3.3321940201710007
actor_observation_019,-0.9065741300582886,0.7903278470039368,-0.9091333746910095,0.7873346209526062,0.49356013536453247,2.0181315375218962
actor_observation_020,-1.0,0.42005741596221924,-0.8898977637290955,0.3960368037223816,0.27037525177001953,2.941566228938058
actor_observation_021,0.3642238974571228,2.7227776050567627,0.6272014379501343,2.5894899368286133,0.3590329885482788,3.2405920471799634
actor_observation_022,-0.6708807945251465,0.6300375461578369,-0.6654973030090332,0.6300375461578369,0.36402642726898193,2.0058536026263436
actor_observation_023,0.1174415647983551,0.7074058651924133,0.11752090603113174,0.6951319575309753,0.16911908984184265,1.8874080016635255
actor_observation_024,1.0,1.0,1.0,1.0,0.0010000000474974513,0.0
actor_observation_025,-0.431363970041275,0.7003756165504456,-0.45534947514533997,0.6063572764396667,0.2590070068836212,2.0711501129983745
actor_observation_026,-0.10691876709461212,0.3470836877822876,-0.1497720181941986,0.18743157386779785,0.061625219881534576,3.1878720214256777
actor_observation_027,-0.9999897480010986,-0.7129998207092285,-0.9999181628227234,-0.7944803237915039,0.05450636148452759,3.0126095585943693
actor_observation_028,-1.3322230577468872,0.6440173983573914,-0.560404896736145,0.7530731558799744,0.2563921809196472,2.992868699330729
actor_observation_029,-13.330611228942871,13.404539108276367,-12.554079055786133,12.97293472290039,4.2899250984191895,3.0510283821710917
actor_observation_030,-1.107154369354248,1.1373993158340454,-1.6684930324554443,1.1373971700668335,0.39278092980384827,3.6384713625459337
actor_observation_031,-49.732330322265625,49.45340347290039,-46.243934631347656,40.820945739746094,21.617712020874023,2.1393603503187384
actor_observation_032,-9.707130432128906,6.940069198608398,-9.706890106201172,7.495034694671631,1.5632959604263306,6.101531682812032
actor_observation_033,-167.48098754882812,186.2486572265625,-167.24107360839844,185.748779296875,82.92150115966797,2.3300483995904933
actor_observation_034,-0.6627368927001953,0.7433435916900635,-0.7088366150856018,0.7351100444793701,0.3176553249359131,3.6065569264070887
actor_observation_035,-1.2522038221359253,0.016779769212007523,-1.2452151775360107,-0.03259142488241196,0.38642942905426025,1.8997733568710562
actor_observation_036,-0.04301696643233299,2.494615077972412,-0.043941207230091095,2.446045398712158,0.7300736904144287,1.8457985905985694
actor_observation_037,-4.226546764373779,4.173292636871338,-3.750051498413086,4.011727809906006,1.1476852893829346,3.503971339546519
actor_observation_038,-11.914434432983398,10.122766494750977,-10.69184684753418,9.415306091308594,4.623398780822754,2.300000929832188
actor_observation_039,-29.20173454284668,26.35765838623047,-29.473182678222656,26.131641387939453,9.464588165283203,3.067279222094366
actor_observation_040,-22.2158203125,29.21731948852539,-13.014604568481445,29.217151641845703,9.040595054626465,2.8719699494216675
actor_observation_041,-26.288818359375,32.82536315917969,-23.666860580444336,36.99411392211914,13.653297424316406,2.530830484642916
actor_observation_042,-0.830355703830719,0.9302397966384888,-0.8869495987892151,0.9193668961524963,0.3987402617931366,3.5971524502815986
actor_observation_043,-0.9900491833686829,0.2563047409057617,-0.9794209599494934,-0.11947909742593765,0.19826549291610718,2.974036764999881
actor_observation_044,-0.9065741300582886,0.7971199750900269,-0.9091333746910095,0.7810538411140442,0.4950464367866516,1.9963445763235717
actor_observation_045,-1.0,0.42005741596221924,-0.8688875436782837,0.4251136779785156,0.2679477632045746,3.025798160015171
actor_observation_046,0.5442065000534058,2.7227776050567627,0.6058658957481384,2.6502137184143066,0.3381103575229645,3.5728413524040024
actor_observation_047,-0.711033821105957,0.5973377227783203,-0.6993374824523926,0.5973377227783203,0.3668496906757355,1.9847894496846443
actor_observation_048,0.11739374697208405,0.7074058651924133,0.11852682381868362,0.6951319575309753,0.1594526618719101,2.056738740232286
actor_observation_049,1.0,1.0,1.0,1.0,0.0010000000474974513,0.0
actor_observation_050,-0.4386219084262848,0.7003756165504456,-0.45534947514533997,0.6105732917785645,0.25784018635749817,2.1389205028479434
actor_observation_051,-0.11462724208831787,0.371394544839859,-0.15992221236228943,0.1875583380460739,0.06550461053848267,3.1627735478646204
actor_observation_052,-0.9999897480010986,-0.7129998207092285,-0.9999123215675354,-0.7910926342010498,0.05176911875605583,3.254918031784168
actor_observation_053,-1.3581537008285522,0.6440173983573914,-0.38750067353248596,0.7530731558799744,0.2582096457481384,2.9765573151580584
actor_observation_054,-13.330611228942871,14.749719619750977,-12.554079055786133,12.142630577087402,4.283593654632568,2.914042303776087
actor_observation_055,-1.0403152704238892,1.011055588722229,-1.6684930324554443,0.638378918170929,0.3350487947463989,4.2114040524544105
actor_observation_056,-49.732330322265625,49.45340347290039,-53.97186279296875,31.585556030273438,21.622480392456055,2.2544550932230996
actor_observation_057,-13.707697868347168,5.978117942810059,-15.22983455657959,4.909299850463867,1.2576992511749268,12.059097066579618
actor_observation_058,-167.48098754882812,186.2486572265625,-167.24107360839844,185.748779296875,83.25550079345703,2.3070523765711966
actor_observation_059,-0.6751390695571899,0.7559071779251099,-0.7088366150856018,0.7351100444793701,0.3251034915447235,3.5391330724947685
actor_observation_060,-1.255592942237854,0.016779769212007523,-1.2452151775360107,-0.03259142488241196,0.38725200295448303,1.909898964300581
actor_observation_061,-0.020238082855939865,2.4964401721954346,-0.04863079637289047,2.3223652839660645,0.7173779010772705,1.7041487905384725
actor_observation_062,-4.226546764373779,4.173292636871338,-4.045324802398682,4.011727809906006,1.1428442001342773,3.8885583848412706
actor_observation_063,-10.916543960571289,12.776312828063965,-10.69184684753418,9.579713821411133,4.722583293914795,2.303016421436847
actor_observation_064,-30.196691513061523,26.35765838623047,-29.473182678222656,26.131641387939453,9.479687690734863,3.076616803475151
actor_observation_065,-25.594459533691406,28.370960235595703,-15.74233627319336,19.790267944335938,8.07682991027832,2.3016648620821165
actor_observation_066,-28.829259872436523,31.150907516479492,-24.05435562133789,36.99411392211914,13.570511817932129,2.5503258920260725
actor_observation_067,-0.8449142575263977,0.9460752010345459,-0.8869495987892151,0.9193668961524963,0.40865176916122437,3.524014230374127
actor_observation_068,-0.986190915107727,0.06162530183792114,-0.9794209599494934,-0.18363814055919647,0.19380035996437073,2.721854657511517
actor_observation_069,-0.9065741300582886,0.7971199750900269,-0.9091333746910095,0.7873346209526062,0.5018482804298401,1.9707859633045066
actor_observation_070,-1.0,0.42005741596221924,-0.8571711778640747,0.4251136779785156,0.2750598192214966,2.925229341297382
actor_observation_071,0.3916236162185669,2.7227776050567627,0.6206007599830627,2.6502137184143066,0.36104029417037964,3.2949965256516527
actor_observation_072,-0.7533712387084961,0.5798976421356201,-0.7362532615661621,0.5786283016204834,0.3692387044429779,1.9732898578403895
actor_observation_073,0.11729804426431656,0.7074058651924133,0.11752090603113174,0.6951319575309753,0.15046387910842896,2.2366196548438912
actor_observation_074,1.0,1.0,1.0,1.0,0.0010000000474974513,0.0
actor_observation_075,0.0,1.0,0.0,1.0,0.43113529682159424,1.7470683302803027
base_steer,-0.8850491046905518,0.9460752010345459,-0.9371090531349182,0.9193668961524963,0.4375830292701721,3.3840562288656493
base_rear_wheel_drive,-0.9900491833686829,-0.002630803035572171,-0.9781053066253662,-0.03787683695554733,0.20485688745975494,3.2155364677746765
base_hip,-0.8857641816139221,0.7903278470039368,-0.9084998369216919,0.7873346209526062,0.50644451379776,1.9428333685821921
base_knee,-0.8926265239715576,0.41898366808891296,-0.8898977637290955,0.4251136779785156,0.2763006389141083,2.9134965593659703
anchor_x_m,2.9,2.9,2.9,2.9,0.0010000000474974513,0.0148773186293916
window_start_x_m,2.75,2.75,2.75,2.75,0.0010000000474974513,0.0
direction_steer,0.0,0.0,-1.0,1.0,0.0010000000474974513,999.999952502551
direction_rear_wheel_drive,-1.0,1.0,0.0,0.0,0.6114286184310913,0.0030119961725865586
direction_hip,-1.0,1.0,0.0,0.0,0.5867698788642883,0.01569286877569046
direction_knee,-1.0,1.0,0.0,0.0,0.5300986766815186,0.05211163558432037
strength,0.15,0.15,0.15,0.15,0.0010000000474974513,0.0008255242909344114
