arm,phase,x_left_m,x_right_m,count,min_root_z_m,max_root_z_m,min_root_vz_mps,max_root_vz_mps
checkpoint_32000,upstream,3.6500000000000004,3.7,5,0.5373048186302185,0.6731829047203064,0.2979936897754669,0.8302944898605347
checkpoint_32000,upstream,3.7,3.75,1,0.5549649596214294,0.5549649596214294,0.29566341638565063,0.29566341638565063
checkpoint_32000,upstream,3.75,3.8000000000000003,3,0.627655029296875,0.6792927980422974,0.2852988541126251,0.6621984243392944
checkpoint_64000,downstream,3.5500000000000003,3.6,2,0.5065906047821045,0.6233378052711487,-0.28849101066589355,-0.12452381104230881
checkpoint_64000,downstream,3.6500000000000004,3.7,2,0.5739262104034424,0.597117006778717,-1.3249467611312866,-1.030089020729065
checkpoint_64000,downstream,3.7,3.75,3,0.5437481999397278,0.5673129558563232,-1.6655360460281372,-0.0822557732462883
checkpoint_64000,downstream,3.75,3.8000000000000003,4,0.4501635432243347,0.6599558591842651,-2.818793773651123,-0.39809393882751465
checkpoint_64000,downstream,3.8000000000000003,3.85,3,0.5216619968414307,0.581542432308197,-2.075420379638672,-0.27426037192344666
checkpoint_64000,downstream,3.85,3.9000000000000004,6,0.42675185203552246,0.6018571257591248,-2.4575400352478027,-0.9166246652603149
checkpoint_64000,downstream,3.9000000000000004,3.95,7,0.37841084599494934,0.658613920211792,-3.437041997909546,-0.057924844324588776
checkpoint_64000,downstream,3.95,4.0,5,0.3292585611343384,0.4640544056892395,-3.4723141193389893,-2.0040030479431152
checkpoint_64000,downstream,4.0,4.05,4,0.3526421785354614,0.6142466068267822,-2.361661195755005,-1.67965829372406
checkpoint_64000,downstream,4.05,4.1000000000000005,6,0.30267608165740967,0.5606390237808228,-3.3207485675811768,-2.048213481903076
checkpoint_64000,downstream,4.1000000000000005,4.15,1,0.4310055077075958,0.4310055077075958,-2.7384889125823975,-2.7384889125823975
checkpoint_64000,downstream,4.15,4.2,1,0.38352257013320923,0.38352257013320923,-2.2142727375030518,-2.2142727375030518
checkpoint_64000,upstream,2.75,2.8000000000000003,8,0.11729804426431656,0.11847393214702606,0.03959311544895172,0.08747830986976624
checkpoint_64000,upstream,2.8000000000000003,2.85,8,0.1197468489408493,0.1505281627178192,0.12212447077035904,1.2248945236206055
checkpoint_64000,upstream,2.85,2.9000000000000004,5,0.12372321635484695,0.2163103222846985,0.3847712278366089,3.2062864303588867
checkpoint_64000,upstream,2.9000000000000004,2.95,9,0.1815362423658371,0.2974105179309845,2.3813743591308594,3.0078248977661133
checkpoint_64000,upstream,2.95,3.0,9,0.23270615935325623,0.4198801815509796,2.4584081172943115,3.2588579654693604
checkpoint_64000,upstream,3.0,3.0500000000000003,4,0.28232061862945557,0.45952901244163513,1.459288477897644,2.52476167678833
checkpoint_64000,upstream,3.0500000000000003,3.1,11,0.32679322361946106,0.47858506441116333,0.2817886173725128,2.152268648147583
checkpoint_64000,upstream,3.1,3.1500000000000004,6,0.36430642008781433,0.4884165823459625,0.29042017459869385,1.7891474962234497
checkpoint_64000,upstream,3.1500000000000004,3.2,4,0.4656141996383667,0.5049706101417542,0.32522857189178467,0.7839283347129822
checkpoint_64000,upstream,3.2,3.25,10,0.4200943410396576,0.5146549940109253,0.22995227575302124,1.1835864782333374
checkpoint_64000,upstream,3.25,3.3000000000000003,2,0.4399632215499878,0.4707299768924713,0.24699430167675018,0.9811173677444458
checkpoint_64000,upstream,3.3000000000000003,3.35,9,0.4563715159893036,0.5371308326721191,0.29499125480651855,0.8180167078971863
checkpoint_64000,upstream,3.35,3.4000000000000004,9,0.47022417187690735,0.5600558519363403,0.19118106365203857,0.6984499096870422
checkpoint_64000,upstream,3.4000000000000004,3.45,7,0.48308947682380676,0.5978650450706482,0.22187846899032593,1.0518373250961304
checkpoint_64000,upstream,3.45,3.5,5,0.5056376457214355,0.6156139969825745,0.04735105484724045,0.9928677678108215
checkpoint_64000,upstream,3.5,3.5500000000000003,9,0.5051043629646301,0.6241424679756165,-0.0017697379225865006,0.9186756610870361
checkpoint_64000,upstream,3.5500000000000003,3.6,7,0.5216336250305176,0.6088553071022034,0.15275847911834717,0.825241208076477
checkpoint_64000,upstream,3.6,3.6500000000000004,2,0.5387824177742004,0.6144720315933228,0.10855084657669067,0.37518832087516785
checkpoint_64000,upstream,3.6500000000000004,3.7,4,0.54984050989151,0.6455479264259338,0.3915250599384308,0.9006230235099792
checkpoint_64000,upstream,3.7,3.75,6,0.5594940185546875,0.6640644669532776,-0.023124799132347107,0.6904188990592957
checkpoint_64000,upstream,3.75,3.8000000000000003,3,0.5782195329666138,0.6319867372512817,0.06767848879098892,0.5104255676269531
checkpoint_64000,upstream,3.85,3.9000000000000004,2,0.6459118723869324,0.655128002166748,0.34976300597190857,0.38539305329322815
pi_6,downstream,3.45,3.5,1,0.597434937953949,0.597434937953949,-0.06868653744459152,-0.06868653744459152
pi_6,downstream,3.5500000000000003,3.6,2,0.5270155072212219,0.5954410433769226,-0.25656118988990784,-0.06688647717237473
pi_6,downstream,3.6,3.6500000000000004,5,0.532758891582489,0.6199433207511902,-0.3431536555290222,-0.025067249312996864
