arm,candidate_index,candidate_id,state_sha256,phase,root_cell,root_x_m,root_y_m,root_z_m,root_vx_mps,root_vy_mps,root_vz_mps,roll_deg,pitch_deg,yaw_deg,root_wx_degps,root_wy_degps,root_wz_degps,steering_deg,hip_deg,knee_deg,steering_rate_degps,hip_rate_degps,knee_rate_degps,rearwheel_tangent_mps,frontwheel_tangent_mps,label,novel_positive
pi_6,114,pi6_causal_upstream_000114,bfec8bc0ab4acc8ea9d7c62287f4852c01b35362df164c1af16aec7628581b6c,upstream,5e306dc983824ecb57c46ac90a329a566eb48a2eb9bc191ac712ecadde4dc7a6,3.408416986465454,0.02196037955582142,0.5181233882904053,1.873162031173706,0.1045963391661644,0.3622400462627411,-1.1484039898315586,-5.178491319843104,-7.323493276183522,3.3264035114167023,-16.49406502476559,-26.432495701132723,16.300207180647703,-5.366748142690764,1.2634074115339387,-157.79928107415193,48.78880280749354,-173.99348201133375,-0.9254252529144288,0.34253377437591553,1,True
pi_6,115,pi6_causal_upstream_000115,ffe0b0f2ddfed98d532f8b79e1b8ca1ff30ca97fcef9bb54e2ee3561a7b77e84,upstream,b30aafe20185c39e0202ca73b878eaf7a76d92d243dc3e6f0b3a3c5e5aaee6a5,3.4482274055480957,0.02382623963057995,0.5246738791465759,2.0226945877075195,0.0873083770275116,0.26276037096977234,-0.9949931564252916,-6.234148493357949,-8.022755300088047,4.498984561471692,-89.43809650183955,-33.04057565707312,29.477754325603126,-6.726301992736857,4.225105074811582,82.07274151978879,-56.10595031438235,217.6426118646223,-0.836254587173462,0.44077180385589604,1,True
pi_6,116,pi6_causal_upstream_000116,226cc51b7de19d8adebbc18e92f5c1ee92821f13b44d7f5ca8b4d89191840681,upstream,4daf9860c87c93332b75a05553bfa55260806c8327ddb183c44fe4f450385318,3.4881410598754883,0.02564689889550209,0.5279366970062256,1.9706127643585205,0.09469859302043915,0.17985767126083374,-0.8257313753651995,-8.838323483365656,-8.689312902897994,3.4762922261960436,-79.8728058900194,-31.967098730884313,34.12709482948207,-5.299446019930397,5.414371209791855,-74.04611494305408,-11.523404247798918,103.66357737303524,-0.8480058574676514,0.4026337814331055,1,True
pi_6,117,pi6_causal_upstream_000117,3f71de360b57438ae59ef31d06f3349ab4019421ddf787446612db1800117760,upstream,79a94595d610f62a41d9dff40b564a1d37772a167f1a5082dfb31a32f0e00b94,3.526287078857422,0.02777615189552307,0.534309446811676,1.8389394283294678,0.11828084290027618,0.3289448618888855,-0.6589532151099992,-6.8797833099761805,-9.261880260925395,5.18775065577271,144.4032856965193,-24.738690749239602,33.895664114739944,-11.511954289429038,10.630538013832757,-15.818897410215245,-322.73414273648626,170.64028260058603,-1.1219732093811037,0.17737437009811402,1,True
pi_6,118,pi6_causal_upstream_000118,653310b36278f7afa73b74b40626d07d77b34de9a5e219fc78229368c09e0348,upstream,f56f8035db5bb5e7e394d9f0513e838847bc274a0967c7c636b15c7b5a1914f1,3.6007614135742188,0.032449446618556976,0.5528478622436523,1.8406903743743896,0.12167199701070786,0.3800279498100281,-0.33471304366425714,-0.42374802731901995,-10.155701053536058,8.973315555134223,127.53210372956251,-22.484356077825627,12.391720220567116,-30.676554977777915,27.97137317962974,-211.65765860439865,-427.37009999071034,407.7594247703098,-1.1013024425506592,0.11633994579315186,1,True
pi_6,119,pi6_causal_upstream_000119,ed408cf7c0e0590a3312d431ab6a76f5f0332b4ea43bb2750d30b4bc24dd5ca4,upstream,50957b4bb19b49656a292565351105dad8d59902433dd89c3aaa63b79f19b737,3.6376304626464844,0.03489990532398224,0.5640793442726135,1.8242290019989014,0.1235903725028038,0.5063518285751343,-0.11926684198269198,2.256495327323643,-10.690373696483807,11.43480815652739,104.97487124084013,-21.805532604522032,22.862972246539652,-41.66277765396002,40.43296452785879,-22.426680252926747,-500.61079219664737,590.1755545566448,-1.0737203025817872,0.1549018430709839,1,True
pi_6,120,pi6_causal_upstream_000120,d6c07464d8aa09f0f3c3d42a03fa9bd74eb9e9334328bcac63475fe019ec3c54,upstream,59740cf516a3dcb848623978ad46c8b868be153a98e27eeff894eb270efb22a7,3.6750097274780273,0.03716842085123062,0.5744261741638184,1.8516950607299805,0.11400394141674042,0.4314251244068146,0.11627844151928017,1.8892489381886277,-11.175146058227082,12.578254394347457,-57.84595125072685,-21.78445805583796,26.32946229750308,-50.09052416517666,54.81752391991865,-67.7604626046206,-354.7725383970218,674.7481043315232,-0.8747797679901124,0.3335454845428467,1,True
pi_6,121,pi6_causal_upstream_000121,3311ce439df71d02ca3287d63ec2f87bb2e092c1eb4c21220f141780d6f4717c,upstream,4b821e6a911c2bba3abfa5be0cc83d53cf52a837ac9a42ab926c1782484ce55d,3.748260498046875,0.04156877472996712,0.5983216762542725,1.753925085067749,0.11745859682559967,0.7304317355155945,0.6484029247828247,-6.69891826017343,-12.091425943040672,12.220860477158308,-303.5665555479228,-18.9816045525586,25.183279715146778,-60.84038131494131,89.14965761318992,-49.46760749777691,-206.35277361945478,927.4087682217207,-0.5745417881011964,0.6086875629425049,1,True
pi_6,122,pi6_causal_upstream_000122,0d1d1afa510f20ed668ccfae6c331b5e93b3bb1878ab05ac6bd19cbb7c1d3dc9,upstream,d89390fedd0e38341c4491e1849435ccca7cf13363e6f8247b698d7ffb5b66e9,3.7830564975738525,0.043977443128824234,0.6097708344459534,1.7070730924606323,0.12826471030712128,0.40197208523750305,0.965915777571392,-12.641765746414418,-12.497357211450767,13.33058180217779,-257.2159902552458,-15.383583841200943,18.056115627569167,-64.19662699005886,105.60788634292774,106.98200429071842,-170.08114965475045,713.4904672662096,-0.6311950206756592,0.585044231414795,1,True
pi_6,123,pi6_causal_downstream_000123,a8bee54b682ddfc72476d210accfb68fdf5352def7c303c5ab477c1eb7098714,downstream,23e17d8f4828fdc78fe6868033eab790e3a8d35e4070790419f41f609a3528d6,3.8527557849884033,0.049094777554273605,0.607272744178772,1.7537106275558472,0.13331817090511322,-0.4950903058052063,1.8224912765248662,-22.184263316765485,-13.20579698850586,19.360603211866145,-190.5937650154295,-10.53724275241226,-0.9219866387708054,-68.68749685990974,126.50590878790311,-51.120127371231895,-109.81495502257543,360.0345161335996,-0.7125582981109619,0.5390454149246217,1,True
