proposer,phase,x_left_m,x_right_m,count,frontwheel_tangent_mps_min,frontwheel_tangent_mps_max,hip_deg_min,hip_deg_max,hip_rate_degps_min,hip_rate_degps_max,knee_deg_min,knee_deg_max,knee_rate_degps_min,knee_rate_degps_max,pitch_deg_min,pitch_deg_max,rearwheel_tangent_mps_min,rearwheel_tangent_mps_max,roll_deg_min,roll_deg_max,root_vx_mps_min,root_vx_mps_max,root_vy_mps_min,root_vy_mps_max,root_vz_mps_min,root_vz_mps_max,root_wx_degps_min,root_wx_degps_max,root_wy_degps_min,root_wy_degps_max,root_wz_degps_min,root_wz_degps_max,root_x_m_min,root_x_m_max,root_y_m_min,root_y_m_max,root_z_m_min,root_z_m_max,steering_deg_min,steering_deg_max,steering_rate_degps_min,steering_rate_degps_max,yaw_deg_min,yaw_deg_max
pi_0,downstream,3.8000000000000003,3.85,17,-0.3968332147598267,3.876469230651856,-72.00180517352342,-58.529393639456664,-49.231433216656214,480.2836028115558,96.92274756793375,144.7973739512507,-1131.3249947981785,283.82911201652684,-17.657677954478,18.683134030400232,-1.0808958339691164,1.974072551727295,-15.477967864089349,-6.193548739997388,1.6781795024871826,2.559296131134033,-0.371340274810791,0.40431109070777893,-3.085808277130127,-1.1800894737243652,-70.700012098854,-24.1699272366743,-506.9751078237519,373.0723090704001,-14.929560676502687,28.232026858735765,3.8003735542297363,3.8462467193603516,0.002176544861868024,0.06257301568984985,0.30611711740493774,0.5566753149032593,-7.648879549592574,35.725140529211615,-70.67119553074572,23.319580637838758,-6.174484372487466,20.203901374427087
pi_0,downstream,3.85,3.9000000000000004,12,-0.523235239982605,3.09196102142334,-72.09469574623559,-65.36374922486313,-15.775862095802287,183.9404094430284,79.35158732426655,145.03905336484243,-575.491194256251,407.71098506871607,-12.552679713383158,15.584954834773153,-0.8364235496520996,2.2883984375,-24.80606009472935,-10.57140336556047,1.7511600255966187,2.3032941818237305,-0.16812163591384888,0.8689635396003723,-2.9382309913635254,-0.5103912353515625,-206.79688617966735,-15.532526361336828,-387.1203416269588,172.95476050273655,-148.3886191149517,68.26323282942523,3.8505377769470215,3.8925137519836426,-0.000840731430798769,0.06759048253297806,0.2924794554710388,0.48046085238456726,14.715943095115952,52.31570075902385,-8.57488073876976,2674.2382818115925,-4.024127259055432,19.6229818314198
pi_0,downstream,3.9000000000000004,3.95,2,0.5398399591445924,1.0552387046813967,-70.07384767650392,-66.85749793596658,132.80250991957612,196.95866803880264,75.17936626976426,131.4942964670869,180.54908391633367,200.2441256333622,-14.693849440842298,4.5889436972956865,-0.29973069190979007,2.6818421554565433,-21.32187438327376,-13.445991510902827,1.9522989988327026,1.9824748039245605,0.0720301941037178,0.27101603150367737,-1.820333480834961,-1.5682387351989746,-83.70155039154008,-13.79167677398795,-314.4328947437928,-266.368689629873,-56.69448722459484,-24.285318160059788,3.9252991676330566,3.9261157512664795,0.013291142880916595,0.022557444870471954,0.2765040993690491,0.42652928829193115,14.790735374074885,46.98328669663027,-3.90788376899951,1767.881795857252,-3.9385700838023934,7.083529541087702
pi_0,downstream,3.95,4.0,4,-0.5181811857223512,1.5191036605834962,-71.93719841416427,-67.54447153249728,31.409628936111627,127.91057817185126,121.57667054693162,146.40798719905305,-268.4876055557078,187.9853021110233,-1.1395350324432738,15.008977876494,1.3212909889221192,1.9094590568542482,-19.527836466377067,-13.775405411497402,1.6569329500198364,1.9018782377243042,-0.2329808473587036,0.6905455589294434,-3.2933852672576904,-0.32654738426208496,-59.88429826511209,-38.439112780821596,-281.1826049584436,34.94052937849557,-1.9597750794943574,32.52988924302044,3.9522626399993896,3.997532367706299,-0.011738752014935017,0.06783943623304367,0.2958556115627289,0.3609471321105957,29.269174008729276,61.10903997575459,-10.380265368491504,1385.0501300101444,14.995534612909644,21.98812165074135
pi_0,downstream,4.0,4.05,3,-0.3732316064834595,0.9038072681427003,-68.64187119625406,-66.89406676878282,-476.5172725786707,73.40726685941529,55.09212484530985,143.5249643503907,-511.97464237166116,-168.9960648220672,-13.107649778926506,7.572221207121399,-0.6717177104949952,1.540626316070557,-14.806100955002165,-13.686905322655816,0.6577430963516235,1.8640822172164917,0.04933730885386467,0.3618067502975464,-2.3751370906829834,-0.39056867361068726,-117.89336809359719,-11.194748351542598,-57.40001503000589,480.3638711946818,-19.47235535197131,107.01164048152711,4.003365993499756,4.0421905517578125,0.013208878226578236,0.08874648809432983,0.2832425832748413,0.33379778265953064,16.854270418571843,17.614552435464304,-430.1826352871382,53.18090472685146,-5.898946594218699,25.659182394559796
pi_0,upstream,2.75,2.8000000000000003,31,1.1891555213928224,2.2063547706604005,-67.44547477066712,-57.874480950889996,45.17691339702617,325.43772285527405,135.92842795550249,142.97708755630728,-384.29127727273953,-129.82726585674024,-0.45886673070019973,2.9461720897259016,0.5436774635314942,1.0419424724578858,-3.0082054440034467,-1.4530531900149288,1.1993077993392944,1.8868257999420166,0.034864358603954315,0.4641261398792267,-0.42213234305381775,0.08876870572566986,-3.9431330946454763,84.60530736213782,-149.63493739318227,31.478258676891915,-54.481758650509995,46.2314809444978,2.7542977333068848,2.7898061275482178,-0.009559973143041134,-0.0013405191712081432,0.11727190762758255,0.12696771323680878,3.3912290502727047,27.160650215716736,-95.68858702642582,294.2171740459559,-6.561951532026536,-5.385719598778456
pi_0,upstream,2.8000000000000003,2.85,24,-0.9029007720947266,2.4531146240234376,-60.907242036726565,-38.214829859045885,-304.0562801114127,579.1705351998668,78.88415649822755,129.10900316362168,-1056.9970184386457,-520.7473919831389,-0.6487195450486241,14.699117397889133,-0.6492720031738282,1.5034597778320313,-3.89621352405833,-0.21790293956828288,0.3160041570663452,2.084649085998535,0.019070060923695564,0.31702134013175964,-0.39500856399536133,1.5079312324523926,-21.98403618338573,52.27683015245731,-139.77781328869497,651.0068039086658,-7.376392567749501,83.75955235797183,2.8278136253356934,2.8438215255737305,-0.0033291741274297237,0.008040355518460274,0.11860840767621994,0.15822166204452515,1.7128339656424834,19.233390938574658,-132.88131664221973,131.26063569558076,-5.769963748075153,-1.9360218835956637
pi_0,upstream,2.85,2.9000000000000004,23,-1.03491587638855,1.3285615158081057,-50.2690414044187,-35.942029771210784,-490.8402339097008,336.7655915937402,34.42027045432111,108.33298838779027,-1106.1654192545464,479.6277407266945,-2.081236562466633,36.468150562461666,-1.0819284343719484,2.330169486999512,-5.464567815284036,-0.5156939329128183,1.0339871644973755,1.8920525312423706,-0.04762639105319977,0.11308945715427399,0.8875830769538879,3.117466449737549,-36.86902304536491,-12.569717511658586,-126.4393554246305,751.447577012398,-27.507576014229194,55.75058581715034,2.876054525375366,2.899841070175171,-0.0011672485852614045,0.006685492116957903,0.12964339554309845,0.24837373197078705,-9.017266114895962,17.094761379247995,-203.99675450677225,216.04421099505592,-6.797343258910881,2.018370868817943
pi_0,upstream,2.9000000000000004,2.95,23,-0.3199490118026734,0.44925267219543463,-56.49199602136605,-43.365492587625425,-361.1840916124261,-32.99105337049595,33.01558057980546,81.5229522727378,-1349.9754147352146,1087.353220468877,7.014390573826798,39.06455420770561,-0.9845713329315187,2.664784622192383,-5.990916912540084,-0.7399049409511779,0.5858640074729919,2.3655452728271484,-0.013910993002355099,0.14455758035182953,-0.5296935439109802,3.532247304916382,-33.056599280865974,-9.391092613454516,-299.50980567152874,586.0074452760228,-32.166745160323785,59.240771501891835,2.9003121852874756,2.945603132247925,-0.0006209667189978063,0.006902826949954033,0.13968050479888916,0.314039945602417,-2.1702418092395996,34.501624837525135,-192.89712336961125,243.45354156826366,-7.216893773253142,2.6291678859499124
pi_0,upstream,2.95,3.0,16,-0.13730377674102784,0.846804428100586,-60.64640394251295,-57.15653586156786,-218.9175759562319,-121.17549255584176,68.00639039587608,99.63928455557708,300.55061721801195,1266.4324749965806,20.857533753316595,31.42506963814411,-0.6036550045013428,2.792432136535645,-4.832115299755955,-1.0098342368653908,1.73507821559906,2.462613821029663,0.014242204837501049,0.13706961274147034,2.5352678298950195,3.5481019020080566,-28.01280169204045,-17.844574423690116,-427.5227683790385,20.90370345481752,-14.010204407614276,32.9941372009062,2.956319808959961,2.9990007877349854,0.000931091548409313,0.0096510648727417,0.27681562304496765,0.38287946581840515,24.504886543760893,37.33551813548762,-126.63106517425442,235.98934691873364,-5.431505315795158,3.044152923527338
